param,1A,1AS,OWPanamax,OWSuezmax,units
MaxSpeed,16,15.4,14.6,15.3,knots
TankCapacity,43000,43474.16043,42798.93991,106187.4199,tons
MaxSIT_SpeedRedn,10,10,1,1,cm
MaxSIT_IBneed,30,40,1,1,cm
MaxSIT_NoGo,75,105,1,1,cm
MaxIceBreakSpeed,3,3,3,3,knots
ShipLoadCapDWT,513921,519588,511518,1269115,tons
